Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Duration
2,You mustve had your hands full.,The Interviewer,neutral,neutral,0,1,8,21,2023-05-02 00:16:21.940,2023-05-02 00:16:23.442,1.502
3,That I did. That I did.,Chandler,neutral,neutral,0,2,8,21,2023-05-02 00:16:23.442,2023-05-02 00:16:26.389,2.947
4,So lets talk a little bit about your duties.,The Interviewer,neutral,neutral,0,3,8,21,2023-05-02 00:16:26.820,2023-05-02 00:16:29.572,2.7520000000000002
6,"Now youll be heading a whole division, so youll have a lot of duties.",The Interviewer,neutral,neutral,0,5,8,21,2023-05-02 00:16:41.126,2023-05-02 00:16:44.337,3.2110000000000003
7,I see.,Chandler,neutral,neutral,0,6,8,21,2023-05-02 00:16:48.800,2023-05-02 00:16:51.886,3.0860000000000003
9,Good to know.,Chandler,neutral,neutral,0,8,8,21,2023-05-02 00:16:59.477,2023-05-02 00:17:00.478,1.0010000000000001
10,We can go into detail,The Interviewer,neutral,neutral,0,9,8,21,2023-05-02 00:17:00.478,2023-05-02 00:17:02.719,2.241
11,No dont I beg of you!,Chandler,fear,negative,0,10,8,21,2023-05-02 00:17:02.856,2023-05-02 00:17:04.858,2.0020000000000002
13,Really?!,Chandler,surprise,positive,0,12,8,21,2023-05-02 00:17:13.491,2023-05-02 00:17:16.536,3.0450000000000004
14,Absolutely.  You can relax,The Interviewer,neutral,neutral,0,13,8,21,2023-05-02 00:17:17.579,2023-05-02 00:17:20.707,3.128
15,But then who? The waitress I went out with last month?,Joey,surprise,negative,1,0,9,23,2023-05-02 00:36:40.364,2023-05-02 00:36:42.824,2.46
16,You know? Forget it!,Rachel,sadness,negative,1,1,9,23,2023-05-02 00:36:44.368,2023-05-02 00:36:46.578,2.21
17,"No-no-no-no, no! Who, who were you talking about?",Joey,surprise,negative,1,2,9,23,2023-05-02 00:36:44.368,2023-05-02 00:36:49.122,4.7540000000000004
18,"No, I-I-I-I don't, I actually don't know",Rachel,fear,negative,1,3,9,23,2023-05-02 00:36:49.290,2023-05-02 00:36:51.791,2.5010000000000003
19,Ok!,Joey,neutral,neutral,1,4,9,23,2023-05-02 00:36:52.376,2023-05-02 00:36:53.543,1.167
20,"All right, well...",Joey,neutral,neutral,1,5,9,23,2023-05-02 00:36:53.545,2023-05-02 00:36:55.000,1.455
23,"Yeah, sure!",Rachel,neutral,neutral,1,8,9,23,2023-05-02 00:36:59.425,2023-05-02 00:37:01.439,2.0140000000000002
24,"Hey, Mon.",Chandler,neutral,neutral,2,0,3,6,2023-05-02 00:05:50.350,2023-05-02 00:05:51.433,1.083
25,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,neutral,2,1,3,6,2023-05-02 00:05:52.435,2023-05-02 00:05:53.897,1.4620000000000002
26,Do I ever.,Chandler,joy,positive,2,2,3,6,2023-05-02 00:05:53.897,2023-05-02 00:05:55.743,1.846
27,Chris says theyre closing down the bar.,Monica,sadness,negative,2,3,3,6,2023-05-02 00:05:57.023,2023-05-02 00:05:58.734,1.711
28,No way!,Chandler,surprise,negative,2,4,3,6,2023-05-02 00:05:58.734,2023-05-02 00:05:59.774,1.04
29,"Yeah, apparently theyre turning it into some kinda coffee place.",Monica,neutral,neutral,2,5,3,6,2023-05-02 00:05:59.942,2023-05-02 00:06:02.152,2.21
30,Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6,3,6,2023-05-02 00:06:02.362,2023-05-02 00:06:07.157,4.795
31,Got me.,Monica,sadness,negative,2,7,3,6,2023-05-02 00:06:04.489,2023-05-02 00:06:07.157,2.668
32,Can I get a beer.,Chandler,neutral,neutral,2,8,3,6,2023-05-02 00:06:07.367,2023-05-02 00:06:08.035,0.668
33,"Hey, did you pick a roommate?",Monica,neutral,neutral,2,9,3,6,2023-05-02 00:06:08.035,2023-05-02 00:06:10.019,1.9840000000000002
34,You betcha!,Chandler,joy,positive,2,10,3,6,2023-05-02 00:06:10.161,2023-05-02 00:06:10.973,0.812
35,Is it the Italian guy?,Monica,neutral,neutral,2,11,3,6,2023-05-02 00:06:10.973,2023-05-02 00:06:12.167,1.1940000000000002
36,"Um-mm, yeah right!",Chandler,joy,positive,2,12,3,6,2023-05-02 00:06:12.288,2023-05-02 00:06:13.497,1.209
37,"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,negative,3,0,3,12,2023-05-02 00:10:16.115,2023-05-02 00:10:18.450,2.335
38,"What, what, what?!",Chandler,surprise,negative,3,1,3,12,2023-05-02 00:10:18.618,2023-05-02 00:10:19.750,1.1320000000000001
39,What?!,Phoebe,surprise,negative,3,2,3,12,2023-05-02 00:10:19.750,2023-05-02 00:10:20.966,1.216
40,He was with her when he wrote this poem.,Phoebe,neutral,neutral,3,3,3,12,2023-05-02 00:10:21.078,2023-05-02 00:10:23.496,2.418
41,"Look,  'My vessel so empty with nothing inside.",Phoebe,neutral,neutral,3,4,3,12,2023-05-02 00:10:23.664,2023-05-02 00:10:26.499,2.835
42,"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,neutral,3,5,3,12,2023-05-02 00:10:26.667,2023-05-02 00:10:29.586,2.919
